Soil,Rep,Treatment,Root sub?,Sample date
Forest,1,Gm,*,9/17/18
Forest,2,Control,*,9/19/18
Forest,3,Control,*,9/17/18
Forest,4,Gm,,9/17/18
Forest,5,Gm,,9/17/18
Forest,6,Gm,*,9/17/18
Forest,7,Gm,,9/17/18
Forest,8,Gm,,9/17/18
Forest,9,Control,*,9/17/18
Forest,10,Gm,*,9/18/18
Forest,11,Gm,,9/18/18
Forest,12,Control,*,9/18/18
Forest,13,Gm,,9/18/18
Forest,14,Control,*,9/18/18
Forest,15,Gm,,9/18/18
Forest,16,Control,*,9/19/18
Forest,17,Gm,,9/18/18
Forest,18,Gm,*,9/18/18
Forest,19,Gm,,9/19/18
Forest,20,Control,*,9/20/18
Forest,21,Gm,*,9/19/18
Forest,22,Gm,,9/19/18
Forest,23,Gm,*,9/19/18
Forest,23,Gm,*,9/20/18
Forest,24,Gm,,9/19/18
Forest,25,Control,*,9/20/18
Forest,26,Control,*,9/21/18
Forest,27,Gm,,9/19/18
Forest,28,Gm,*,9/20/18
Forest,29,Gm,,9/20/18
Forest,30,Gm,,9/20/18
Forest,31,Gm,,9/20/18
Forest,32,Gm,,9/20/18
Forest,33,Gm,,9/21/18
Forest,34,Gm,*,9/21/18
Forest,35,Gm,*,9/21/18
Forest,36,Gm,,9/21/18
Forest,37,Gm,*,9/21/18
Forest,38,Gm,,9/21/18
Forest,39,Control,*,9/21/18
Forest,40,Gm,,9/21/18
Plantation,1,Gm,*,9/17/18
Plantation,2,Gm,,9/17/18
Plantation,3,Gm,,9/17/18
Plantation,4,Gm,,9/17/18
Plantation,5,Gm,,9/17/18
Plantation,6,Gm,*,9/17/18
Plantation,7,Control,*,9/17/18
Plantation,8,Gm,,9/18/18
Plantation,9,Gm,,9/18/18
Plantation,10,Gm,*,9/18/18
Plantation,11,Control,*,9/17/18
Plantation,12,Gm,,9/18/18
Plantation,13,Control,*,9/18/18
Plantation,14,Gm,*,9/18/18
Plantation,15,Gm,,9/18/18
Plantation,16,Gm,*,9/19/18
Plantation,17,Control,*,9/18/18
Plantation,18,Gm,,9/19/18
Plantation,19,Control,*,9/19/18
Plantation,20,Gm,,9/19/18
Plantation,21,Gm,,9/19/18
Plantation,22,Gm,*,9/19/18
Plantation,23,Control,*,9/19/18
Plantation,24,Gm,,9/19/18
Plantation,25,Gm,,9/20/18
Plantation,25,Gm,,9/20/18
Plantation,26,Gm,,9/20/18
Plantation,27,Gm,,9/20/18
Plantation,28,Control,*,9/20/18
Plantation,29,Control,*,9/20/18
Plantation,30,Gm,*,9/20/18
Plantation,31,Control,*,9/21/18
Plantation,32,Gm,,9/21/18
Plantation,33,Control,*,9/21/18
Plantation,34,Gm,,9/21/18
Plantation,35,Gm,*,9/20/18
Plantation,36,Gm,,9/21/18
Plantation,37,Gm,*,9/21/18
Plantation,38,Gm,,9/21/18
Plantation,39,Gm,*,9/21/18
Plantation,40,Gm,,9/21/18
Sterile,1,Gm,*,9/17/18
Sterile,2,Gm,,9/17/18
Sterile,3,Gm,*,9/17/18
Sterile,4,Gm,*,9/18/18
Sterile,5,Gm,,9/17/18
Sterile,6,Control,*,9/17/18
Sterile,7,Gm,,9/17/18
Sterile,8,Gm,,9/17/18
Sterile,9,Gm,,9/18/18
Sterile,10,Control,*,9/17/18
Sterile,11,Control,*,9/18/18
Sterile,12,Gm,*,9/18/18
Sterile,13,Gm,,9/18/18
Sterile,14,Gm,*,9/19/18
Sterile,15,Gm,*,9/19/18
Sterile,16,Gm,,9/18/18
Sterile,17,Gm,,9/18/18
Sterile,18,Control,*,9/18/18
Sterile,19,Gm,,9/19/18
Sterile,20,Gm,,9/19/18
Sterile,20,Gm,,9/19/18
Sterile,21,Gm,*,9/20/18
Sterile,22,Gm,,9/19/18
Sterile,23,Gm,,9/20/18
Sterile,23,Gm,,9/20/18
Sterile,24,Control,*,9/19/18
Sterile,25,Gm,,9/20/18
Sterile,26,Control,*,9/19/18
Sterile,27,Gm,*,9/20/18
Sterile,28,Gm,*,9/21/18
Sterile,29,Gm,,9/20/18
Sterile,31,Control,*,9/20/18
Sterile,32,Control,*,9/20/18
Sterile,33,Gm,,9/21/18
Sterile,34,Gm,,9/21/18
Sterile,35,Control,*,9/21/18
Sterile,36,Gm,*,9/21/18
Sterile,37,Gm,,9/21/18
Sterile,38,Control,*,9/21/18
Sterile,39,Gm,,9/21/18
Sterile,40,Gm,,9/21/18